Employee_ID,Name,Gender,Age,Department,Designation,Experience_Years,Salary,Performance_Rating,Attendance,City,Joining_Date,Work_Mode,Overtime_Hours,Training_Hours
1038,Arjun Verma,F,44,Finance,Intern,18,90938,Average,75.39,Pune,2018-12-09,Hybrid,26,46
1039,Arjun Patel,M,35,Finance,Senior Analyst,10,33605,Poor,72.99,Delhi,2018-05-26,Office,19,5
1040,simran Jain,F,27,IT,Executive,10,82388,Excellent,71.64,Pune,2018-11-19,Hybrid,16,43
1041,simran yadav,M,41,Finance,Senior Analyst,12,106297,Excellent,90.0,Mumbai,2023-12-10,Hybrid,9,50
1042,Aisha Kumar,M,46,HR,Manager,10,80501,Excellent,94.23,Lucknow,2021-06-29,Remote,20,9
1043,simran Jain,F,34,IT,Senior Analyst,17,78309,Excellent,85.26,Lucknow,2023-02-22,Office,0,26
1044,Priya Verma,M,57,HR,Intern,14,52043,Average,71.64,Pune,2024-06-16,Office,21,30
1045,Kabir Gupta,M,41,Marketing,Intern,0,58635,Average,86.06,Delhi,2019-08-24,Office,27,10
1046,Riya mehta,M,38,Sales,Senior Analyst,6,104315,Average,98.07,Lucknow,2019-04-20,Remote,15,36
1047,Karan Kumar,F,25,Marketing,Intern,12,105691,Good,87.93,Pune,2022-02-24,Remote,25,15
1048,Rohan Sharma,F,23,Sales,Intern,11,131514,Good,94.28,Jaipur,2019-07-29,Hybrid,25,14
1049,Karan yadav,F,43,Marketing,Senior Analyst,17,58132,Good,94.0,Jaipur,2018-12-13,Hybrid,14,43
1050,Karan Jain,F,46,Finance,Analyst,18,114387,Excellent,97.96,Hyderabad,2022-02-19,Hybrid,22,38
1051,aarav Jain,F,57,HR,Analyst,14,40366,Average,93.11,Delhi,2019-01-17,Remote,16,35
1052,Riya singh,F,44,Sales,Executive,7,118944,Poor,92.43,Pune,2021-07-27,Remote,25,16
1053,aarav Jain,F,39,IT,Intern,18,97107,Good,77.02,Hyderabad,2018-03-13,Remote,19,48
1054,aditya singh,F,45,HR,Senior Analyst,9,87580,Average,71.8,Jaipur,2021-01-22,Hybrid,24,20
1055,aarav Gupta,M,41,IT,Intern,6,140267,Good,85.53,Delhi,2021-10-28,Remote,12,42
1056,Arjun yadav,M,32,HR,Manager,17,147362,Excellent,73.73,Chennai,2024-07-14,Hybrid,0,7
1057,Arjun Kumar,F,53,HR,Intern,15,82889,Good,98.87,Hyderabad,2021-09-21,Hybrid,24,6
1058,Aisha yadav,M,24,Marketing,Intern,19,104553,Good,78.7,Chennai,2019-10-26,Office,7,9
1059,Karan Jain,M,27,Sales,Analyst,5,64236,Excellent,95.59,Bangalore,2022-02-24,Office,4,15
1060,Aisha Verma,F,42,Sales,Senior Analyst,8,29150,Average,81.63,Delhi,2023-03-07,Office,5,29
1061,aarav yadav,F,53,HR,Intern,12,136369,Average,79.7,Mumbai,2018-02-09,Hybrid,22,39
1062,Sneha Jain,F,37,Finance,Analyst,7,44423,Good,98.05,Bangalore,2021-10-14,Office,19,39
1063,priya singh,M,44,Finance,Executive,15,29137,Good,80.9,Hyderabad,2023-07-24,Office,29,26
1064,Aisha Jain,F,54,IT,Analyst,12,54992,Average,81.71,Pune,2021-07-01,Office,13,41
1065,Rahul singh,M,48,IT,Analyst,12,135540,Average,73.18,Bangalore,2020-08-23,Remote,21,26
1066,aarav singh,F,59,Marketing,Analyst,16,119438,Average,90.11,Bangalore,2023-03-16,Hybrid,22,15
1067,priya singh,F,42,HR,Intern,19,140140,Good,78.67,Hyderabad,2024-01-27,Office,10,36
1068,aarav Gupta,F,37,IT,Intern,4,69921,Poor,87.57,Pune,2019-12-02,Remote,30,39
1069,Arjun yadav,M,54,IT,Executive,16,146225,Excellent,87.74,Pune,2019-05-26,Remote,5,35
1070,Kabir yadav,M,26,HR,Manager,8,104369,Average,91.58,Jaipur,2021-07-07,Remote,10,49
1071,Neha Kumar,M,26,Marketing,Manager,1,91917,Excellent,92.36,Mumbai,2019-08-07,Office,12,12
1072,Kabir mehta,M,54,IT,Manager,17,98690,Average,85.43,Pune,2020-09-10,Remote,30,24
1073,Arjun singh,F,21,Marketing,Executive,8,59235,Good,79.93,Lucknow,2019-04-04,Hybrid,11,46
1074,Kabir yadav,F,30,Sales,Manager,5,103975,Good,95.12,Lucknow,2023-03-21,Remote,21,38
1075,aarav Patel,M,41,Marketing,Manager,10,44122,Good,79.3,Mumbai,2024-07-16,Remote,1,8
1076,Rohan Patel,M,25,Finance,Analyst,5,48956,Excellent,85.23,Delhi,2023-10-06,Remote,20,22
1077,simran Gupta,M,22,Finance,Intern,5,88879,Average,82.04,Hyderabad,2024-03-15,Remote,2,8
1078,Sneha yadav,M,42,Marketing,Intern,12,83560,Average,95.65,Delhi,2020-03-26,Hybrid,22,24
1079,Rohan Patel,F,22,Finance,Analyst,10,146435,Poor,82.96,Lucknow,2024-11-16,Office,3,13
1080,Rohan yadav,F,30,Sales,Analyst,13,107800,Excellent,81.58,Pune,2018-09-04,Hybrid,16,20
1081,Neha singh,M,54,HR,Analyst,1,135310,Average,90.69,Mumbai,2019-12-31,Hybrid,27,30
1082,Rahul Verma,M,36,Finance,Intern,7,93685,Average,88.07,Delhi,2024-08-17,Office,27,42
1083,Arjun Kumar,F,59,Finance,Manager,2,49660,Good,73.22,Delhi,2019-02-21,Remote,21,29
1084,priya Maurya,M,42,Marketing,Analyst,2,131196,Excellent,85.25,Chennai,2020-11-20,Office,5,8
1085,Aisha Patel,F,32,Sales,Executive,0,111064,Average,92.06,Hyderabad,2019-01-03,Office,6,45
1086,simran mehta,F,44,HR,Analyst,18,139440,Poor,99.76,Bangalore,2018-04-18,Hybrid,14,49
1087,Sneha Kumar,F,58,Marketing,Senior Analyst,17,26168,Average,88.87,Lucknow,2020-04-18,Office,10,45
1088,Sneha Sharma,M,30,Marketing,Analyst,16,70124,Good,81.11,Pune,2019-02-22,Remote,23,42
1089,aarav Kumar,F,55,Sales,Intern,19,60897,Good,76.78,Mumbai,2022-07-02,Hybrid,30,23
1090,Neha Kumar,F,52,HR,Analyst,12,40032,Excellent,96.18,Delhi,2020-03-31,Remote,2,18
1091,Ananya Kumar,F,27,Sales,Senior Analyst,2,77797,Average,94.44,Hyderabad,2021-11-22,Hybrid,29,25
1092,Aditya Yadav,M,41,HR,Executive,0,60294,Average,77.02,Bangalore,2019-11-14,Remote,5,19
1093,Rahul Jain,M,40,Sales,Manager,3,68827,Excellent,76.02,Lucknow,2018-09-13,Office,25,7
1094,Neha Kumar,M,46,Marketing,Analyst,12,28516,Average,91.45,Lucknow,2020-04-17,Office,1,41
1095,simran Gupta,F,24,Marketing,Senior Analyst,16,44751,Good,79.45,Hyderabad,2024-04-01,Office,28,50
1096,aarav singh,M,42,IT,Senior Analyst,10,55373,Poor,79.19,Chennai,2019-07-07,Remote,13,20
1097,Arjun Jain,F,35,Finance,Executive,1,147026,Good,74.57,Mumbai,2018-06-30,Hybrid,8,18
1098,Kabir Maurya,M,41,Sales,Intern,15,55270,Excellent,77.92,Delhi,2018-06-06,Hybrid,17,13
1099,Riya Kumar,M,35,IT,Analyst,1,35386,Good,82.83,Mumbai,2022-01-17,Hybrid,18,11
1100,Ananya Sharma,F,42,Finance,Senior Analyst,18,126859,Good,91.99,Hyderabad,2019-07-25,Office,11,18
1101,simran Sharma,F,48,Sales,Executive,18,89817,Excellent,80.09,Hyderabad,2020-05-06,Remote,30,10
1102,Arjun Patel,F,34,HR,Manager,15,90184,Good,79.86,Mumbai,2022-11-20,Hybrid,30,25
1103,Aisha yadav,M,47,Finance,Senior Analyst,18,139316,Good,78.55,Jaipur,2022-09-24,Remote,12,19
1104,Vivaan singh,M,48,Marketing,Executive,8,104693,Average,84.35,Bangalore,2020-11-13,Hybrid,25,12
1105,aarav Gupta,M,46,IT,Intern,0,62879,Excellent,75.42,Lucknow,2022-02-05,Office,11,38
1106,aarav Jain,M,22,Finance,Intern,9,130056,Good,84.57,Jaipur,2021-11-24,Remote,11,44
1107,aarav Sharma,F,45,Finance,Senior Analyst,18,74597,Excellent,91.13,Pune,2019-08-15,Hybrid,17,5
1108,Vivaan Verma,M,23,Marketing,Senior Analyst,0,64132,Average,70.89,Lucknow,2023-12-22,Hybrid,8,36
1109,Aisha Maurya,M,28,Sales,Analyst,1,28626,Excellent,70.29,Lucknow,2019-02-25,Hybrid,16,9
1110,Sneha Gupta,M,53,HR,Executive,15,110936,Poor,72.25,Bangalore,2024-03-10,Hybrid,20,34
1111,aarav Sharma,F,55,Marketing,Senior Analyst,11,127179,Average,86.07,Pune,2024-12-04,Office,15,26
1112,aditya Verma,F,26,HR,Analyst,7,128801,Good,95.63,Delhi,2018-12-14,Hybrid,16,24
1113,priya mehta,F,59,Sales,Analyst,17,106515,Good,70.15,Pune,2018-06-15,Hybrid,20,20
1114,Rahul yadav,F,43,Finance,Senior Analyst,1,102065,Excellent,98.1,Delhi,2020-07-25,Office,23,11
1115,Ananya yadav,M,45,HR,Intern,12,80390,Good,73.19,Chennai,2018-12-14,Hybrid,7,11
1116,Neha Jain,M,39,IT,Executive,5,41645,Average,95.26,Chennai,2019-02-02,Remote,10,6
1117,Neha Sharma,F,25,IT,Executive,5,116960,Poor,84.49,Pune,2019-08-06,Remote,23,18
1118,Kabir Maurya,F,31,Marketing,Intern,8,79144,Excellent,89.78,Mumbai,2022-05-20,Hybrid,1,35
1119,Riya Gupta,F,32,Sales,Senior Analyst,15,38382,Good,85.32,Hyderabad,2018-11-04,Office,7,45
1120,Ananya Verma,F,30,Marketing,Executive,10,29025,Average,84.31,Pune,2024-11-18,Office,11,18
1121,Rahul Maurya,M,28,Marketing,Senior Analyst,6,68226,Average,95.05,Jaipur,2018-04-09,Office,20,9
1122,Neha Sharma,M,44,Marketing,Senior Analyst,9,104380,Excellent,92.68,Jaipur,2021-06-19,Hybrid,30,15
1123,Karan Maurya,F,48,IT,Analyst,9,147971,Good,84.5,Bangalore,2018-06-07,Hybrid,0,44
1124,Rohan singh,F,56,IT,Intern,19,143910,Good,73.35,Hyderabad,2019-07-08,Remote,22,9
1125,Ananya Patel,M,57,Marketing,Senior Analyst,17,94711,Average,73.46,Hyderabad,2019-10-13,Office,12,33
1126,aditya mehta,M,41,IT,Manager,19,121055,Good,94.05,Delhi,2024-03-24,Hybrid,21,15
1127,aditya singh,M,28,Sales,Intern,8,99710,Good,85.88,Lucknow,2024-10-06,Hybrid,20,9
1128,Ananya yadav,F,29,Marketing,Executive,14,28443,Poor,84.45,Bangalore,2024-04-09,Hybrid,16,36
1129,Ananya Kumar,M,35,IT,Analyst,3,46395,Average,90.42,Jaipur,2020-12-04,Office,13,40
1130,aarav Jain,M,38,HR,Executive,7,35725,Average,95.77,Jaipur,2022-02-04,Office,13,19
1131,Sneha Verma,M,40,Marketing,Executive,8,58461,Good,88.87,Chennai,2024-08-15,Remote,15,23
1132,Riya Sharma,M,26,Marketing,Intern,12,66115,Excellent,92.89,Delhi,2023-02-22,Office,16,26
1133,Neha Kumar,M,32,Sales,Executive,8,135084,Poor,92.96,Jaipur,2020-01-04,Hybrid,5,38
1134,Karan Verma,M,22,Finance,Senior Analyst,3,121887,Good,80.69,Jaipur,2023-05-05,Remote,25,21
1135,Sneha Mehta,M,27,Finance,Executive,16,108732,Excellent,78.22,Delhi,2018-04-02,Office,27,16
1136,Aditya Yadav,F,36,Sales,Analyst,15,137145,Good,94.03,Jaipur,2024-01-29,Office,6,29
1137,Aisha mehta,F,23,Sales,Analyst,14,104790,Excellent,81.32,Lucknow,2022-06-16,Office,25,21
1138,Karan Patel,F,23,Sales,Manager,2,104557,Good,97.1,Mumbai,2021-04-30,Office,25,14
1139,Aisha Sharma,F,47,Finance,Analyst,19,136672,Average,72.09,Bangalore,2021-01-05,Hybrid,0,32
1140,Vivaan Sharma,M,58,Sales,Executive,4,96260,Poor,71.75,Lucknow,2021-07-28,Office,24,22
1141,simran Gupta,F,53,IT,Analyst,4,53690,Poor,97.81,Lucknow,2021-10-19,Hybrid,14,22
1142,priya yadav,M,48,Marketing,Intern,19,26407,Excellent,89.45,Mumbai,2018-06-28,Hybrid,19,49
1143,Karan Kumar,M,21,Marketing,Analyst,14,98568,Good,81.39,Chennai,2024-04-04,Hybrid,20,36
1144,aditya singh,F,28,HR,Senior Analyst,17,83560,Excellent,92.65,Hyderabad,2018-10-07,Remote,17,18
1145,aditya Patel,F,57,HR,Intern,14,72340,Average,90.17,Bangalore,2020-11-08,Hybrid,29,20
1146,Riya Maurya,M,52,Marketing,Manager,1,42794,Good,85.94,Chennai,2022-06-07,Office,27,22
1147,Riya Sharma,F,57,IT,Senior Analyst,12,44881,Average,72.97,Chennai,2019-01-06,Remote,25,20
1148,Riya Patel,M,24,Finance,Executive,3,111292,Average,94.37,Lucknow,2022-12-06,Office,12,21
1149,Neha Sharma,M,50,Finance,Executive,9,130698,Good,95.98,Jaipur,2022-08-31,Hybrid,23,11
1150,Riya Patel,M,26,IT,Executive,12,119952,Good,75.17,Chennai,2024-03-18,Office,29,16
1151,Rahul Jain,F,39,Finance,Senior Analyst,9,74703,Poor,95.52,Mumbai,2018-10-31,Remote,1,38
1152,Ananya singh,F,52,Sales,Senior Analyst,8,69354,Poor,96.34,Hyderabad,2021-09-10,Remote,18,14
1153,simran Kumar,F,29,Marketing,Senior Analyst,7,116288,Good,86.48,Bangalore,2021-12-31,Office,14,9
1154,aditya Kumar,F,32,Marketing,Intern,2,103462,Good,89.69,Pune,2024-10-21,Office,11,25
1155,Rohan Verma,F,31,IT,Intern,15,144020,Poor,81.47,Delhi,2021-04-08,Office,14,7
1156,simran Verma,M,36,Finance,Executive,13,124301,Excellent,78.45,Jaipur,2024-08-19,Remote,24,23
1157,Vivaan Maurya,F,21,HR,Analyst,8,143764,Good,91.66,Mumbai,2024-08-25,Hybrid,17,49
1158,aditya Kumar,F,41,HR,Executive,10,39390,Excellent,95.86,Delhi,2023-08-24,Office,13,48
1159,Ananya Sharma,F,50,Finance,Manager,2,129403,Good,89.62,Hyderabad,2019-10-31,Hybrid,5,39
1160,Ananya Sharma,F,33,HR,Intern,4,112475,Excellent,85.35,Hyderabad,2019-05-15,Remote,11,10
1161,simran Gupta,F,54,IT,Senior Analyst,9,52307,Good,74.77,Pune,2021-11-15,Office,19,18
1162,Ananya Jain,M,24,IT,Intern,12,121364,Good,71.6,Chennai,2022-04-22,Office,22,8
1163,Riya yadav,M,48,Finance,Senior Analyst,3,119049,Good,83.37,Lucknow,2019-06-14,Remote,29,49
1164,aditya Sharma,M,58,HR,Manager,12,143740,Poor,71.48,Lucknow,2023-06-30,Office,29,22
1165,aarav singh,F,51,IT,Manager,11,144991,Average,87.08,Bangalore,2024-12-14,Hybrid,5,33
1166,Rahul yadav,M,47,IT,Intern,4,49502,Average,81.48,Mumbai,2021-05-04,Remote,25,39
1167,Rahul Maurya,F,25,Sales,Senior Analyst,9,120599,Average,92.72,Mumbai,2020-01-25,Remote,29,42
1168,Rahul singh,F,45,Sales,Manager,8,47486,Excellent,79.17,Chennai,2024-06-05,Office,8,20
1169,Rahul Jain,M,23,IT,Executive,19,136813,Good,87.79,Hyderabad,2020-03-25,Remote,29,24
1170,Neha Verma,F,53,Finance,Executive,6,63258,Poor,86.13,Bangalore,2019-12-28,Office,24,28
1171,priya Sharma,M,24,Marketing,Senior Analyst,1,82716,Good,70.14,Chennai,2020-01-01,Office,25,39
1172,Aisha Sharma,F,45,Marketing,Intern,6,122228,Excellent,72.17,Delhi,2020-04-07,Remote,3,48
1173,priya singh,F,40,IT,Manager,7,128920,Average,78.71,Lucknow,2021-08-24,Office,16,23
1174,Ananya singh,F,54,IT,Intern,6,106494,Good,96.47,Lucknow,2023-08-09,Hybrid,1,8
1175,aarav Sharma,F,46,IT,Executive,13,125552,Good,74.41,Hyderabad,2020-05-24,Hybrid,15,37
1176,Aisha Gupta,M,25,Finance,Manager,18,107768,Poor,91.33,Mumbai,2023-12-19,Office,23,6
1177,Rahul singh,F,55,Sales,Intern,4,35748,Average,99.2,Hyderabad,2023-06-27,Hybrid,13,17
1178,Aisha Kumar,M,48,IT,Analyst,17,87785,Good,93.72,Chennai,2022-08-05,Office,25,49
1179,priya Jain,F,49,IT,Senior Analyst,19,101050,Poor,77.29,Mumbai,2019-08-31,Hybrid,7,34
1180,Rohan Sharma,M,29,HR,Senior Analyst,11,47738,Average,97.25,Bangalore,2023-09-05,Remote,13,38
1181,simran Gupta,M,58,Finance,Analyst,16,99231,Average,72.79,Chennai,2022-01-17,Office,30,34
1182,Kabir singh,F,26,IT,Executive,12,98606,Excellent,84.04,Pune,2019-09-27,Office,1,28
1183,Aisha Sharma,F,39,HR,Manager,1,118301,Excellent,96.63,Delhi,2021-04-24,Office,15,48
1184,Ananya Gupta,M,31,Marketing,Senior Analyst,12,66662,Average,89.24,Jaipur,2019-04-29,Office,3,37
1185,Sneha Sharma,M,22,IT,Analyst,6,143313,Average,82.41,Pune,2020-12-10,Office,0,45
1186,aditya Verma,M,29,IT,Analyst,9,121297,Average,78.78,Chennai,2023-03-30,Office,22,14
1187,Karan mehta,F,41,HR,Executive,5,107234,Excellent,81.25,Pune,2023-08-15,Remote,19,22
1188,Kabir Maurya,M,44,Finance,Executive,2,40123,Excellent,85.27,Mumbai,2019-08-12,Remote,26,23
1189,Arjun singh,M,54,IT,Intern,2,125680,Average,79.57,Mumbai,2024-03-05,Hybrid,13,11
1190,Riya Jain,M,42,Marketing,Senior Analyst,17,50616,Excellent,99.07,Mumbai,2024-04-23,Office,7,23
1191,Vivaan Maurya,F,23,IT,Intern,10,127682,Good,97.99,Pune,2021-05-13,Hybrid,24,28
1192,Sneha Verma,F,32,Marketing,Analyst,19,36182,Excellent,96.12,Hyderabad,2023-05-28,Hybrid,27,19
1193,Kabir mehta,F,48,Sales,Manager,4,115369,Excellent,82.65,Delhi,2023-08-21,Remote,24,45
1194,Vivaan mehta,F,50,Sales,Manager,18,123878,Average,90.74,Hyderabad,2020-08-06,Hybrid,2,46
1195,aarav Jain,F,46,Marketing,Executive,18,87013,Average,97.08,Mumbai,2023-08-18,Remote,4,27
1196,aarav Kumar,F,41,Finance,Manager,14,56331,Good,95.51,Chennai,2023-09-11,Hybrid,5,8
1197,Neha Maurya,M,48,IT,Manager,15,71098,Good,82.43,Chennai,2023-07-01,Office,21,42
1198,Sneha Mehta,M,46,IT,Manager,8,51128,Average,73.37,Lucknow,2022-10-08,Hybrid,25,8
1199,Sneha Mehta,M,53,Sales,Analyst,3,56556,Good,72.27,Hyderabad,2019-01-22,Remote,7,9
1200,aditya Verma,M,41,Marketing,Manager,14,112505,Good,87.31,Delhi,2021-06-05,Remote,5,45
1201,Karan Jain,M,55,IT,Manager,11,46876,Poor,89.28,Chennai,2022-11-26,Remote,5,48
1202,Rohan mehta,M,54,IT,Manager,2,33949,Excellent,95.5,Lucknow,2022-02-07,Hybrid,3,27
1203,Sneha Kumar,M,38,Finance,Intern,13,76962,Poor,78.78,Delhi,2018-07-26,Hybrid,6,44
1204,Ananya Patel,M,31,HR,Analyst,16,115054,Excellent,75.02,Mumbai,2022-12-24,Remote,29,41
1205,aarav Jain,M,43,Sales,Executive,18,148984,Good,81.37,Hyderabad,2022-11-16,Office,29,15
1206,simran singh,M,42,Sales,Intern,5,96206,Good,80.61,Jaipur,2024-07-23,Office,23,15
1207,Sneha Verma,F,37,HR,Senior Analyst,3,49099,Poor,73.97,Bangalore,2020-03-03,Hybrid,18,17
1208,Vivaan yadav,F,25,IT,Analyst,6,129871,Good,90.17,Mumbai,2024-03-31,Hybrid,6,18
1209,Kabir Maurya,M,31,Finance,Analyst,18,37716,Good,85.26,Chennai,2022-09-21,Remote,2,12
1210,aditya Kumar,F,50,Finance,Senior Analyst,16,77611,Poor,91.63,Pune,2020-10-02,Hybrid,7,29
1211,Arjun Maurya,F,35,Sales,Senior Analyst,15,63885,Good,80.58,Jaipur,2020-07-30,Hybrid,0,22
1212,Arjun mehta,F,47,Finance,Senior Analyst,14,78144,Good,79.77,Pune,2021-03-11,Remote,0,48
1213,Rahul Sharma,F,55,HR,Executive,7,90220,Good,84.18,Delhi,2024-02-02,Remote,13,48
1214,Ananya mehta,M,53,IT,Manager,18,32837,Average,96.32,Pune,2022-08-05,Hybrid,5,22
1215,Rahul Maurya,F,40,HR,Analyst,7,74355,Excellent,71.21,Jaipur,2019-03-25,Office,9,14
1216,Neha Gupta,F,36,Marketing,Manager,17,72299,Excellent,94.14,Jaipur,2019-08-15,Hybrid,24,11
1217,aarav Jain,F,54,Sales,Manager,15,44159,Good,81.07,Mumbai,2018-03-23,Office,27,48
1218,priya Gupta,M,22,Finance,Senior Analyst,19,141680,Good,95.64,Lucknow,2023-12-23,Office,13,18
1219,Sneha Patel,M,55,Marketing,Executive,18,141931,Poor,94.07,Mumbai,2021-11-07,Office,3,19
1220,Rahul Patel,M,48,Finance,Intern,9,131802,Poor,80.46,Delhi,2022-01-20,Remote,5,20
1221,simran singh,M,59,IT,Executive,16,141375,Average,90.82,Chennai,2024-10-23,Remote,15,6
1222,Sneha Jain,M,26,IT,Manager,12,127413,Average,74.79,Pune,2020-12-15,Remote,27,34
1223,Ananya Verma,M,29,IT,Executive,12,76012,Average,96.89,Lucknow,2019-02-23,Hybrid,20,34
1224,Aisha mehta,F,40,Finance,Senior Analyst,6,84305,Excellent,82.13,Hyderabad,2018-03-29,Remote,27,22
1225,simran singh,F,21,Marketing,Intern,9,112096,Average,83.67,Bangalore,2018-08-03,Remote,30,35
1226,aarav Jain,M,28,IT,Senior Analyst,1,42106,Good,91.17,Jaipur,2022-10-25,Hybrid,0,48
1227,Kabir singh,M,43,Marketing,Intern,3,83123,Good,94.63,Lucknow,2022-03-01,Hybrid,5,17
1228,Aisha mehta,M,23,Finance,Manager,5,136825,Average,77.09,Chennai,2022-09-14,Office,8,24
1229,Sneha Mehta,F,24,Marketing,Intern,17,33720,Good,89.84,Hyderabad,2024-12-25,Hybrid,30,39
1230,priya mehta,F,45,Finance,Intern,5,62661,Average,81.76,Lucknow,2024-04-11,Hybrid,14,27
1231,priya yadav,M,58,Finance,Intern,16,140031,Good,81.06,Mumbai,2022-02-10,Remote,11,46
1232,Kabir Kumar,M,35,Sales,Executive,13,118898,Average,90.7,Hyderabad,2018-11-05,Office,2,37
1233,Aisha Gupta,F,41,Finance,Executive,10,118794,Excellent,81.62,Bangalore,2018-08-19,Office,10,42
1234,aarav mehta,M,55,Finance,Manager,18,112318,Average,80.38,Chennai,2018-06-04,Hybrid,14,39
1235,Arjun Sharma,M,34,HR,Intern,1,131704,Average,95.08,Jaipur,2021-04-13,Remote,2,40
1236,Kabir Verma,M,56,IT,Analyst,2,46120,Good,73.04,Chennai,2018-04-25,Remote,13,24
1237,simran Maurya,M,32,Sales,Manager,10,44790,Good,90.28,Delhi,2021-11-14,Remote,1,7
1238,Karan Jain,M,37,Sales,Intern,5,83655,Excellent,77.46,Delhi,2018-11-07,Remote,28,12
1239,Rohan Gupta,M,59,Sales,Intern,13,84643,Excellent,70.46,Lucknow,2020-09-19,Hybrid,3,44
1240,aarav yadav,F,29,HR,Executive,18,118448,Average,75.0,Hyderabad,2024-06-05,Remote,25,36
1241,Kabir Gupta,F,55,Finance,Manager,15,72374,Poor,88.2,Lucknow,2020-11-07,Office,18,33
1242,Rahul yadav,F,33,IT,Intern,6,67907,Good,91.27,Pune,2018-01-12,Office,11,11
